DAY,TIME,MODULE CODE,CLASS TYPE,ROOM,LECTURER,COURSE,YEAR,TERM
MON,09:00-11:00,CS4012,LECTURE,CSG001,L002,LM121,1,1
MON,11:00-13:00,CS4013,LECTURE,KBG12,L001,LM051,1,1
MON,13:00-15:00,CS4301,LECTURE,CSG001,L003,LM097,3,1
MON,14:00-15:00,CS4012,TUTORIAL,CSG027,L002,LM121,1,1
MON,15:00-16:00,CS4013,TUTORIAL,CSG027,L001,LM051,1,1
MON,16:00-18:00,CS4012,LAB,CS1044,L002,LM121,1,1
TUE,09:00-10:00,CS4013,TUTORIAL,CSG027,L001,LM097,1,1
TUE,10:00-12:00,CS4141,LECTURE,CSG028,L001,LM121,1,1
TUE,11:00-13:00,CS4201,LAB,CS2044,L004,LM051,2,1
TUE,13:00-15:00,CS4013,LAB,CS2044,L001,LM051,1,1
TUE,14:00-16:00,CS4141,LAB,CS2044,L001,LM121,1,1
TUE,15:00-17:00,CS4301,LAB,CS2044,L003,LM097,3,1
WED,09:00-10:00,CS4221,LECTURE,CSG001,L003,LM121,1,1
WED,09:00-11:00,CS4201,LECTURE,CSG001,L004,LM051,2,1
WED,10:00-12:00,CS4101,LECTURE,CSG028,L002,LM051,1,1
WED,11:00-13:00,CS4221,LAB,CS3005B,L003,LM121,1,1
WED,13:00-14:00,CS4201,TUTORIAL,CSG027,L004,LM051,2,1
WED,14:00-15:00,CS4101,TUTORIAL,CSG027,L002,LM051,1,1
WED,15:00-17:00,CS4303,LAB,CS1045,L004,LM097,3,1
THU,09:00-11:00,CS4101,LECTURE,CSG001,L002,LM110,1,1
THU,10:00-11:00,ET4011,TUTORIAL,CSG029,L007,LM121,1,1
THU,11:00-13:00,CS4202,LECTURE,CSG028,L005,LM051,2,1
THU,13:00-15:00,ET4011,LECTURE,CSG028,L007,LM121,1,1
THU,14:00-15:00,CS4101,LAB,CS1044,L002,LM110,1,1
THU,15:00-16:00,ET4011,LAB,EG002,L007,LM121,1,1
THU,16:00-18:00,CS4303,LAB,CS1045,L004,LM097,3,1
FRI,09:00-11:00,MS4111,LECTURE,KBG12,L008,LM121,1,1
FRI,10:00-11:00,CS4115,LECTURE,CSG029,L003,LM051,1,1
FRI,11:00-12:00,CS4202,TUTORIAL,CSG027,L005,LM051,2,1
FRI,13:00-14:00,MS4111,TUTORIAL,CSG027,L008,LM121,1,1
FRI,13:00-15:00,CS4202,LAB,CS1044,L005,LM051,2,1
FRI,14:00-16:00,CS4115,LAB,CS1045,L003,LM051,1,1
FRI,15:00-17:00,MS4111,TUTORIAL,CSG029,L008,LM121,1,1
FRI,16:00-17:00,CS4401,LECTURE,KBG12,L005,LM110,4,1
MON,09:00-11:00,CS4201,TUTORIAL,CSG027,L004,LM051,2,2
MON,11:00-13:00,MA4052,LECTURE,KBG12,L008,LM121,1,2
MON,10:00-12:00,CS4203,LECTURE,CSG028,L002,LM051,2,2
MON,15:00-17:00,MA4052,TUTORIAL,CSG027,L008,LM121,1,2
TUE,09:00-10:00,MA4052,TUTORIAL,CSG029,L008,LM121,1,2
TUE,09:00-11:00,CS4142,LECTURE,CSG001,L001,LM121,1,2
TUE,10:00-12:00,CS4202,TUTORIAL,CSG027,L005,LM051,2,2
TUE,13:00-14:00,CS4142,TUTORIAL,CSG027,L001,LM121,1,2
TUE,14:00-16:00,CS4203,LAB,CS2044,L002,LM051,2,2
TUE,15:00-17:00,CS4142,LAB,CS1044,L001,LM121,1,2
WED,09:00-11:00,CS4302,LECTURE,CSG001,L001,LM097,3,2
WED,10:00-12:00,CS4182,LECTURE,CSG028,L004,LM121,1,2
WED,13:00-14:00,CS4222,TUTORIAL,CSG027,L005,LM121,1,2
WED,14:00-16:00,CS4182,LAB,CS2044,L004,LM121,1,2
WED,15:00-17:00,CS4301,TUTORIAL,CSG027,L003,LM097,3,2
THU,09:00-10:00,CS4401,TUTORIAL,CSG027,L005,LM110,4,2
THU,09:00-11:00,CS4222,LECTURE,CSG001,L005,LM121,1,2
THU,11:00-13:00,ET4012,LAB,EG002,L007,LM121,1,2
THU,13:00-15:00,CS4222,LAB,CS3005B,L005,LM121,1,2
THU,16:00-17:00,CS4182,TUTORIAL,CSG027,L004,LM121,1,2
FRI,09:00-10:00,CS4182,LECTURE,CSG001,L004,LM121,1,2
FRI,10:00-12:00,ET4012,LECTURE,CSG029,L007,LM121,1,2
FRI,11:00-12:00,CS4402,LECTURE,KBG12,L002,LM110,4,2
FRI,13:00-15:00,CS4302,LAB,CS1044,L001,LM097,3,2
FRI,14:00-16:00,MA4052,LECTURE,KBG14,L008,LM121,1,2
